backend,dim,dtype,solver,case,grid_size,tol,max_iter,repeat_runs,cycle,nu,omega,mg_coarse,coarse_steps,omp_num_threads,iterations,residual_l2,error_l2,error_linf,time_ms
cuda,2,double,mg,sine,127,1e-09,15,5,v,4,1.25,exact,,,3,7.228834e-10,2.510052e-05,5.020104e-05,0.687
cuda,2,double,mg,sine,127,1e-09,15,5,v,4,1.25,sor,16,,3,7.22888e-10,2.510052e-05,5.020104e-05,0.712
cuda,2,double,mg,sine,127,1e-09,15,5,w,4,1.25,exact,,,3,1.128886e-11,2.510046e-05,5.020092e-05,3.259
cuda,2,double,mg,sine,127,1e-09,15,5,w,4,1.25,sor,16,,3,1.127911e-11,2.510046e-05,5.020092e-05,2.086
cuda,2,double,mg,sine,127,1e-09,150,5,v,3,1.25,exact,,,4,1.96337e-10,2.510045e-05,5.02009e-05,0.722
cuda,2,double,mg,sine,159,1e-09,15,5,v,4,1.25,exact,,,3,1.713212e-10,1.606412e-05,3.212824e-05,0.956
cuda,2,double,mg,sine,159,1e-09,15,5,v,4,1.25,sor,16,,3,1.713198e-10,1.606412e-05,3.212824e-05,0.669
cuda,2,double,mg,sine,159,1e-09,15,5,w,4,1.25,exact,,,3,6.843385e-12,1.606412e-05,3.212824e-05,7.677
cuda,2,double,mg,sine,159,1e-09,15,5,w,4,1.25,sor,16,,3,6.837947e-12,1.606412e-05,3.212824e-05,2.38
cuda,2,double,mg,sine,191,1e-09,15,5,v,4,1.25,exact,,,3,2.158555e-10,1.115558e-05,2.231115e-05,0.698
cuda,2,double,mg,sine,191,1e-09,15,5,v,4,1.25,sor,16,,3,2.158611e-10,1.115558e-05,2.231115e-05,0.81
cuda,2,double,mg,sine,191,1e-09,15,5,w,4,1.25,exact,,,3,4.7892e-12,1.115557e-05,2.231114e-05,3.543
cuda,2,double,mg,sine,191,1e-09,15,5,w,4,1.25,sor,16,,3,4.777499e-12,1.115557e-05,2.231114e-05,3.805
cuda,2,double,mg,sine,255,1e-09,15,5,v,4,1.25,exact,,,3,7.225221e-10,6.275031e-06,1.255007e-05,0.997
cuda,2,double,mg,sine,255,1e-09,15,5,v,4,1.25,sor,16,,3,7.225056e-10,6.275031e-06,1.255007e-05,1.13
cuda,2,double,mg,sine,255,1e-09,15,5,w,4,1.25,exact,,,3,3.228277e-12,6.274973e-06,1.254995e-05,6.315
cuda,2,double,mg,sine,255,1e-09,15,5,w,4,1.25,sor,16,,3,3.232031e-12,6.274973e-06,1.254995e-05,4.172
cuda,2,double,mg,sine,255,1e-09,150,5,v,3,1.25,exact,,,4,2.387709e-10,6.274967e-06,1.254993e-05,1.079
cuda,2,double,mg,sine,319,1e-09,15,5,v,4,1.25,exact,,,3,2.718296e-10,4.015972e-06,8.031944e-06,1.336
cuda,2,double,mg,sine,319,1e-09,15,5,v,4,1.25,sor,16,,3,2.718289e-10,4.015972e-06,8.031944e-06,0.985
cuda,2,double,mg,sine,319,1e-09,15,5,w,4,1.25,exact,,,3,3.292264e-12,4.015972e-06,8.031943e-06,15.148
cuda,2,double,mg,sine,319,1e-09,15,5,w,4,1.25,sor,16,,3,3.317625e-12,4.015972e-06,8.031943e-06,5.007
cuda,2,double,mg,sine,383,1e-09,15,5,v,4,1.25,exact,,,3,3.090861e-10,2.788868e-06,5.577738e-06,1.209
cuda,2,double,mg,sine,383,1e-09,15,5,v,4,1.25,sor,16,,3,3.090764e-10,2.788868e-06,5.577738e-06,1.135
cuda,2,double,mg,sine,383,1e-09,15,5,w,4,1.25,exact,,,3,3.980539e-12,2.788865e-06,5.57773e-06,7.32
cuda,2,double,mg,sine,383,1e-09,15,5,w,4,1.25,sor,16,,3,3.986964e-12,2.788865e-06,5.57773e-06,7.604
cuda,2,double,mg,sine,511,1e-09,15,5,v,4,1.25,exact,,,3,7.555634e-10,1.568792e-06,3.137587e-06,1.713
cuda,2,double,mg,sine,511,1e-09,15,5,v,4,1.25,sor,16,,3,7.555859e-10,1.568792e-06,3.137587e-06,1.703
cuda,2,double,mg,sine,511,1e-09,15,5,w,4,1.25,exact,,,3,6.639327e-12,1.568734e-06,3.137469e-06,13.159
cuda,2,double,mg,sine,511,1e-09,15,5,w,4,1.25,sor,16,,3,6.65657e-12,1.568734e-06,3.137469e-06,9.211
cuda,2,double,mg,sine,511,1e-09,150,5,v,3,1.25,exact,,,4,2.600678e-10,1.568728e-06,3.137453e-06,1.99
cuda,2,double,mg,sine,639,1e-09,15,5,v,4,1.25,exact,,,3,3.625815e-10,1.00399e-06,2.007979e-06,2.538
cuda,2,double,mg,sine,639,1e-09,15,5,v,4,1.25,sor,16,,3,3.625824e-10,1.00399e-06,2.007979e-06,2.404
cuda,2,double,mg,sine,639,1e-09,15,5,w,4,1.25,exact,,,3,9.720318e-12,1.003989e-06,2.007979e-06,32.175
