dimension,case,mode,mode_key,cycle,mg_coarse,omega,nu,solver,backend,dtype,omp_num_threads,grid_size,cells,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,time_per_cell_us,throughput_cells_per_s,tol,max_iter,repeat_runs,converged,source
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,1023,1046529,4,2.727351e-10,3.921770e-07,7.843500e-07,4.547900e+01,4.547900e-02,4.345699e-02,2.301126e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,1023,1046529,4,2.727351e-10,3.921770e-07,7.843500e-07,3.092100e+01,3.092100e-02,2.954624e-02,3.384525e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,1023,1046529,4,2.727351e-10,3.921770e-07,7.843500e-07,1.584400e+01,1.584400e-02,1.513957e-02,6.605207e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,1023,1046529,4,2.727351e-10,3.921770e-07,7.843500e-07,1.348700e+01,1.348700e-02,1.288736e-02,7.759539e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,1023,1046529,4,2.727351e-10,3.921770e-07,7.843500e-07,1.533100e+01,1.533100e-02,1.464938e-02,6.826228e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,1023,1046529,4,2.727351e-10,3.921770e-07,7.843500e-07,1.425400e+01,1.425400e-02,1.362026e-02,7.342002e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,1023,1046529,4,2.727351e-10,3.921770e-07,7.843500e-07,1.655700e+01,1.655700e-02,1.582087e-02,6.320765e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,2047,4190209,4,2.974561e-10,9.803966e-08,1.960755e-07,2.001100e+01,2.001100e-02,4.775657e-03,2.093953e+08,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,2047,4190209,4,2.986698e-10,9.803965e-08,1.960754e-07,3.178770e+02,3.178770e-01,7.586185e-02,1.318186e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,2047,4190209,4,2.986698e-10,9.803965e-08,1.960754e-07,2.219200e+02,2.219200e-01,5.296156e-02,1.888162e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,2047,4190209,4,2.986698e-10,9.803965e-08,1.960754e-07,1.597560e+02,1.597560e-01,3.812602e-02,2.622881e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,2047,4190209,4,2.986698e-10,9.803965e-08,1.960754e-07,1.648240e+02,1.648240e-01,3.933551e-02,2.542232e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,8,2047,4190209,4,2.986698e-10,9.803965e-08,1.960754e-07,1.411290e+02,1.411290e-01,3.368066e-02,2.969063e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,12,2047,4190209,4,2.986698e-10,9.803965e-08,1.960754e-07,1.395890e+02,1.395890e-01,3.331314e-02,3.001819e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,16,2047,4190209,4,2.986698e-10,9.803965e-08,1.960754e-07,1.355520e+02,1.355520e-01,3.234970e-02,3.091219e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,cuda,double,,4095,16769025,4,5.079855e-10,2.450536e-08,4.900689e-08,1.011280e+02,1.011280e-01,6.030643e-03,1.658198e+08,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,1,4095,16769025,4,5.092777e-10,2.450541e-08,4.900693e-08,1.371954e+03,1.371954e+00,8.181477e-02,1.222273e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,2,4095,16769025,4,5.092777e-10,2.450541e-08,4.900693e-08,9.335040e+02,9.335040e-01,5.566835e-02,1.796353e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,4,4095,16769025,4,5.092777e-10,2.450541e-08,4.900693e-08,7.610050e+02,7.610050e-01,4.538159e-02,2.203537e+07,1.000000e-09,150,5,true,wrapper
2,sine,MG V exact,mg_v_exact,v,exact,1.25,3,mg,omp,double,6,4095,16769025,4,5.092777e-10,2.450541e-08,4.900693e-08,7.438670e+02,7.438670e-01,4.435959e-02,2.254304e+07,1.000000e-09,150,5,true,wrapper
